,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
0,Junior Business Analyst,PwC Ireland,"Cork, County Cork, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Accounting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
1,Junior Business Analyst,PwC Ireland,"Cork, County Cork, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Accounting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
2,Junior Business Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
3,Business Analyst Junior (IT),Eurofins BioPharma Product Testing Ireland Ltd,"Dungarvan, County Waterford, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
4,Junior Business Analyst,Morgan McKinley,"Dublin City, County Dublin, Ireland",Entry level,Temporary,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
5,Financial Research Analyst,Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Accounting/Auditing, Finance, and Customer Service",Financial Services and Accounting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
6,Operations Analyst - Investment Manager (12 month Contract),Engage People Recruitment,"Dublin, County Dublin, Ireland",Entry level,Contract,Analyst,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
7,Financial Research Analyst,Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
8,Junior Business Analyst,Reperio Human Capital,"Cork, County Cork, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
9,Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork,PwC Ireland,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Accounting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
