,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
0,Data Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,0,1,1,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
1,European eCommerce Data and Insight Analyst,Kellogg Company,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Food and Beverage Retail,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
2,Data Analyst,ESB,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Utilities,1,1,0,1,1,1,25/08/2022," ""Data"" ""Analyst"" "
3,Google Data Analyst,Frontiers,Ireland,Entry level,Full-time,Information Technology,Book and Periodical Publishing,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
4,Data Analytics Analyst,Elavon Europe,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Financial Services,1,0,0,0,0,1,25/08/2022," ""Data"" ""Analyst"" "
5,ETF Data Analyst,Virtu Financial,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Financial Services,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
6,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
7,Graduate Customer Success Data Analyst,Fenergo,"Dublin, County Dublin, Ireland",Entry level,Full-time,Other,Financial Services,1,0,1,0,1,1,25/08/2022," ""Data"" ""Analyst"" "
8,Investment Data Analyst,Engage People Inc.,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,1,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
9,Data Analyst,Bausch + Lomb,"Waterford, County Waterford, Ireland",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,1,1,1,0,0,1,25/08/2022," ""Data"" ""Analyst"" "
10,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,0,0,25/08/2022," ""Data"" ""Analyst"" "
11,Systems Analyst I (Radiology),Optum,"Letterkenny, County Donegal, Ireland",Entry level,Full-time,Information Technology,Insurance,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
12,Data Analyst,Integra LifeSciences,"Tullamore, County Offaly, Ireland",Entry level,Full-time,Information Technology,Medical Equipment Manufacturing,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
13,Data Analyst - Remote (to GMT+2) / Dublin,Phorest Salon Software,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,1,0,0,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
14,Data Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,1,0,25/08/2022," ""Data"" ""Analyst"" "
15,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
16,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
17,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,1,0,0,1,0,25/08/2022," ""Data"" ""Analyst"" "
18,Systems Analyst II (Radiology),Optum,"Letterkenny, County Donegal, Ireland",Entry level,Full-time,Information Technology,Insurance,0,0,1,0,0,0,25/08/2022," ""Data"" ""Analyst"" "
19,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,1,0,1,0,0,25/08/2022," ""Data"" ""Analyst"" "
