,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
0,Financial Analyst,CBRE Global Workplace Solutions (GWS),"Dublin, County Dublin, Ireland",Entry level,Full-time,"Engineering, Finance, and Information Technology",Leasing Non-residential Real Estate and Financial Services,0,0,1,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
1,Financial Analyst,Pfizer,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Pharmaceutical Manufacturing,0,0,1,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
2,Financial Analyst,Amdocs,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
3,Financial Analyst,Boston Scientific,"Cork, County Cork, Ireland",Entry level,Full-time,Finance,Medical Equipment Manufacturing,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
4,Financial Analyst,Grant Thornton Ireland,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Accounting,0,0,1,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
5,Financial Analyst,Morgan McKinley,"South Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
6,Financial Analyst,NetApp,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Data Infrastructure and Analytics,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
7,Financial Analyst,Glanbia,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Food and Beverage Services,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
8,Financial Analyst,Cpl,"County Westmeath, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,1,25/08/2022," ""Financial"" ""Analyst"" "
9,Financial Analyst,NetApp,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Data Infrastructure and Analytics,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
10,Financial Analyst,Glanbia,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Food and Beverage Services,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
11,Financial Analyst,Flex,"Cork, County Cork, Ireland",Entry level,Full-time,Finance,"Appliances, Electrical, and Electronics Manufacturing",1,0,1,0,1,1,25/08/2022," ""Financial"" ""Analyst"" "
12,Financial Analyst,Morgan McKinley,"Waterford, County Waterford, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
13,Finance Analyst,LexisNexis Risk Solutions Group,Ireland,Entry level,Full-time,Finance and Sales,Information Services,0,0,1,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
14,Financial Analyst,Booking Holdings (NASDAQ: BKNG),"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Holding Companies,0,0,0,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
15,Finance Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Financial"" ""Analyst"" "
