,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
0,Graduate Marketing Technology Analyst,Sage,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
1,Digital Marketing Analyst,Frontiers,Ireland,Entry level,Full-time,Management and Manufacturing,Book and Periodical Publishing,1,1,0,0,1,0,25/08/2022," ""Marketing"" ""Analyst"" "
2,Media Analyst,PublicRelay,"Dublin, County Dublin, Ireland",N/a,Full-time,N/a,N/a,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
3,Media Analyst,PublicRelay,"Waterford, County Waterford, Ireland",N/a,Full-time,N/a,N/a,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
4,Media Analyst,PublicRelay,"Waterford, County Waterford, Ireland",N/a,Full-time,N/a,N/a,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
5,Freighter Analyst,BBAM,"Dublin, County Dublin, Ireland",N/a,Full-time,N/a,N/a,0,0,1,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
6,Pricing Product Marketing Manager,Fenergo,"Dublin, County Dublin, Ireland",Entry level,Full-time,Marketing,Financial Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
7,Marketing Automation Specialist,Frontiers,Ireland,Entry level,Full-time,Information Technology,Book and Periodical Publishing,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
8,E-Commerce Performance Marketing acceleration Lead,Kellogg Company,"Dublin, County Dublin, Ireland",Entry level,Full-time,Sales and Business Development,Food and Beverage Retail,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
9,Chargeback Operations Analyst,EML,Ireland,Entry level,Full-time,"Information Technology, Finance, and Analyst",IT Services and IT Consulting and Financial Services,0,0,1,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
10,Insights Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting,1,1,1,0,0,1,25/08/2022," ""Marketing"" ""Analyst"" "
11,Treasury Analyst - Graduate,FK International - Financial Search and Selection,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
